tf,substrate,source,yeastract_sign,in_teufel
GCN4,IDP1,teufel,+,1
LEU3,IDP1,teufel,both,1
PHD1,RPS29B,teufel,NA,1
ABF1,RPS29B,teufel,+,1
IFH1,RPS29B,teufel,NA,1
SFP1,RPS29B,teufel,NA,1
RAP1,RPS29B,teufel,+,1
SWI5,TSR1,teufel,NA,1
MET32,RAD59,teufel,both,1
MET28,RAD59,teufel,NA,1
CBF1,RAD59,teufel,+,1
MET4,RAD59,teufel,+,1
MET31,RAD59,teufel,-,1
MBP1,PSA1,teufel,NA,1
STE12,PSA1,teufel,both,1
SKN7,PSA1,teufel,both,1
ACE2,PSA1,teufel,NA,1
SOK2,PSA1,teufel,NA,1
MSN2,PSA1,teufel,-,1
RAP1,PSA1,teufel,NA,1
GCN4,MCH1,teufel,both,1
CBF1,LHP1,teufel,+,1
TYE7,LHP1,teufel,-,1
TEC1,STP4,teufel,-,1
SWI4,STP4,teufel,-,1
YAP1,STP4,teufel,both,1
SOK2,STP4,teufel,NA,1
MSN2,STP4,teufel,+,1
AFT1,MRP10,teufel,-,1
RAP1,SLM3,teufel,-,1
YRM1,MPS1,teufel,NA,1
YRM1,YDL027C,teufel,NA,1
GCN4,RTK1,teufel,+,1
SPT23,RTK1,teufel,NA,1
YAP1,RTK1,teufel,both,1
MSN2,RTK1,teufel,NA,1
PHO4,GPD1,teufel,+,1
MSN2,GPD1,teufel,+,1
HOT1,GPD1,teufel,NA,1
SKO1,GPD1,teufel,-,1
RAP1,GPD1,teufel,+,1
MSN1,GPD1,teufel,NA,1
GCN4,GPM2,teufel,both,1
SOK2,GPM2,teufel,NA,1
RAP1,GPM2,teufel,+,1
CIN5,GPM2,teufel,NA,1
PDR3,RPN4,teufel,both,1
PDR1,RPN4,teufel,both,1
HSF1,RPN4,teufel,both,1
MSN2,RPN4,teufel,+,1
ABF1,CDC7,teufel,NA,1
ABF1,YDL012C,teufel,+,1
MSN2,GRX6,teufel,NA,1
REB1,RPT2,teufel,+,1
ABF1,MED2,teufel,+,1
MBP1,ATP16,teufel,-,1
PHO4,ATP16,teufel,NA,1
CIN5,ATP16,teufel,both,1
MBP1,MCD1,teufel,-,1
SWI4,MCD1,teufel,NA,1
GCR2,RMD1,teufel,NA,1
CBF1,NTH1,teufel,-,1
SOK2,NTH1,teufel,NA,1
YAP1,RCR2,teufel,NA,1
YRM1,SOK1,teufel,NA,1
PHO4,TRP1,teufel,NA,1
PDR3,SNQ2,teufel,both,1
CAD1,SNQ2,teufel,+,1
GCN4,SNQ2,teufel,+,1
PDR1,SNQ2,teufel,both,1
STE12,SNQ2,teufel,NA,1
ACE2,SNQ2,teufel,NA,1
YAP1,SNQ2,teufel,both,1
YOX1,SNQ2,teufel,NA,1
MSN2,SNQ2,teufel,NA,1
SFP1,RPL4B,teufel,NA,1
RAP1,RPL4B,teufel,+,1
PDR1,PSF1,teufel,+,1
YAP1,PSF1,teufel,both,1
BAS1,GCV1,teufel,+,1
BAS1,DAS2,teufel,+,1
RAP1,FAL1,teufel,-,1
PHO2,SES1,teufel,+,1
CBF1,SES1,teufel,+,1
SFP1,RPS11A,teufel,NA,1
RPN4,REG1,teufel,both,1
REB1,YDR029W,teufel,-,1
ABF1,YDR029W,teufel,-,1
YAP1,PST2,teufel,both,1
RAP1,PST2,teufel,NA,1
STE12,MRH1,teufel,-,1
MSN2,MRH1,teufel,-,1
MCM1,MRH1,teufel,-,1
RAP1,MRH1,teufel,NA,1
TEC1,LYS14,teufel,NA,1
GCN4,LYS14,teufel,+,1
STE12,LYS14,teufel,NA,1
GCR2,LYS14,teufel,NA,1
UME6,ARO3,teufel,-,1
GCN4,ARO3,teufel,+,1
ABF1,ARO3,teufel,NA,1
STE12,EHD3,teufel,NA,1
STE12,KRS1,teufel,NA,1
YRM1,ENA5,teufel,NA,1
TEC1,RSM10,teufel,+,1
TUP1,RSM10,teufel,NA,1
HAP2,RSM10,teufel,-,1
TEC1,NRG1,teufel,+,1
TUP1,NRG1,teufel,NA,1
STE12,NRG1,teufel,NA,1
SKN7,NRG1,teufel,+,1
CBF1,NRG1,teufel,-,1
SOK2,NRG1,teufel,NA,1
MSN2,NRG1,teufel,NA,1
SKO1,NRG1,teufel,+,1
CIN5,NRG1,teufel,+,1
STE12,HEM13,teufel,NA,1
MOT3,HEM13,teufel,both,1
RAP1,HEM13,teufel,NA,1
ROX1,HEM13,teufel,both,1
STP1,BAP3,teufel,+,1
ABF1,BAP3,teufel,+,1
MSN2,BAP3,teufel,-,1
