substrate,q_x,boot_robust_frac,mean_n_sources,transfer_r_median,repressor_score,carries_repressor,n_repressor_edges,n_edges,n_robust_edges,periodicity_pvalue,score,tier,reason,apply_multiplier,recommended_fallback
HAT2,0.3859,0.5000,2.0000,0.5125,1.0000,false,0,2,1,0.153592,0.6130,DO-NOT-USE,non-periodic,false,flat_M1
HBN1,0.0000,1.0000,1.0000,0.2472,1.0000,false,0,1,1,NA,0.5161,USE,,true,none
HCH1,0.4352,1.0000,2.0000,-0.2096,1.0000,false,0,1,1,0.442252,0.6204,DO-NOT-USE,non-periodic,false,flat_M1
HCM1,0.9700,0.0000,1.5000,0.0185,1.0000,false,0,2,0,1.69971e-11,0.4977,CAUTION,,false,damped
HCR1,0.0385,1.0000,2.0000,0.0013,1.0000,false,0,1,1,8.85107,0.5413,DO-NOT-USE,non-periodic,false,flat_M1
HCS1,0.0367,1.0000,2.0000,0.0262,1.0000,false,0,1,1,111.395,0.5459,DO-NOT-USE,non-periodic,false,flat_M1
HDA3,0.0904,1.0000,1.0000,0.1336,1.0000,false,0,1,1,2.78659,0.5115,DO-NOT-USE,non-periodic,false,flat_M1
HEK2,0.9552,0.0000,1.5000,0.7838,1.0000,false,0,4,0,1.98983e-14,0.6478,DO-NOT-USE,over-parameterized,false,flat_M1
HEM1,0.1054,0.5000,1.5000,-0.2327,1.0000,false,0,2,1,34.0533,0.4211,DO-NOT-USE,non-periodic,false,flat_M1
HEM12,0.2342,1.0000,3.0000,0.2933,1.0000,false,0,1,1,29.3487,0.7055,DO-NOT-USE,non-periodic,false,flat_M1
HEM13,0.7966,0.0000,0.5000,0.1920,1.0000,false,0,2,0,1.8844e-05,0.4311,CAUTION,,false,damped
HEM2,0.1432,1.0000,2.0000,0.5323,1.0000,false,0,1,1,1.9962,0.6684,DO-NOT-USE,non-periodic,false,flat_M1
HEM3,0.3828,1.0000,1.0000,-0.0305,1.0000,false,0,1,1,0.000614952,0.5432,USE,,true,none
HEM4,0.1530,1.0000,1.0000,0.1474,1.0000,false,0,1,1,3.81273,0.5267,DO-NOT-USE,non-periodic,false,flat_M1
HER1,0.2218,1.0000,0.0000,-0.2775,1.0000,false,0,1,1,10.2816,0.4444,DO-NOT-USE,non-periodic,false,flat_M1
