substrate,tf,alpha
CIS3,RLM1,0.000000
CIS3,SKN7,0.000000
CIS3,SWI4,0.370761
CIS3,SWI6,0.358781
CIS3,TEC1,0.196199
CIT1,CBF1,0.000000
CIT1,HAP2,0.080063
CIT1,HAP3,-0.154914
CIT1,HAP4,0.000000
CIT1,MSN2,-0.221849
CIT1,RGM1,0.000000
CIT1,RTG3,-0.135689
CIT2,CAT8,0.094831
CIT2,MSN2,-0.100166
CIT2,RPN4,0.000000
CIT2,RTG1,0.069387
CIT2,UPC2,-0.260871
CIT3,ADR1,0.042666
CIT3,RTG3,-0.063522
CKI1,INO4,0.183338
CKS1,GCR2,0.083487
CKS1,MSN2,0.000000
CLA4,STE12,0.013174
CLA4,TEC1,-0.240569
CLA4,YRM1,0.000000
CLB1,MCM1,-0.133078
CLB1,MSN2,-0.051426
CLB1,RAP1,0.324024
CLB1,STE12,0.124647
CLB1,SWI4,0.136111
CLB1,YAP1,0.000000
CLB1,YHP1,0.391453
CLB2,AFT1,0.000000
CLB2,FKH1,0.258419
CLB2,FKH2,0.000000
CLB2,MCM1,0.040264
CLB2,NDD1,0.346091
CLB2,RAP1,0.000000
CLB2,STE12,0.000000
CLB2,SWI4,0.000000
CLB2,XBP1,-0.034630
CLB2,YOX1,0.202927
CLB3,DAL82,0.000000
CLB3,YRM1,-0.062866
CLB5,MBP1,0.000000
CLB5,SWI4,0.186722
CLB5,SWI6,-0.105364
CLB6,MBP1,0.063213
CLB6,STB1,0.127348
CLB6,STE12,0.353199
CLB6,SWI4,0.091082
CLB6,YOX1,0.000000
CLD1,CBF1,0.000000
CLD1,STE12,0.000000
CLD1,SWI4,-0.107049
CLN1,FLO8,0.034316
CLN1,RAP1,-0.125796
CLN1,SKN7,0.000000
CLN1,SOK2,0.000000
CLN1,STE12,0.212628
CLN1,SWI4,0.183972
CLN1,TEC1,0.376707
CLN2,SKN7,0.124925
CLN2,STE12,0.351161
CLN2,SWI4,0.000000
CLN2,XBP1,-0.036723
CLN2,YOX1,0.161514
CLN3,AZF1,-0.399425
CLN3,MCM1,0.020819
CLN3,RAP1,0.286511
CLN3,STE12,0.000000
CLN3,SWI4,-0.401264
CMD1,CST6,0.180331
CMD1,RPN4,0.085952
CMK2,OAF1,-0.073048
CMK2,YAP1,-0.014396
CMR3,CAD1,-0.042905
CMR3,CIN5,0.000000
CMR3,FLO8,0.219421
CMR3,HIR2,0.000000
CMR3,MSN2,0.083893
CMR3,PHD1,0.000000
CMR3,PIP2,0.000000
CMR3,STE12,0.000000
CMR3,TEC1,0.094970
CMR3,TUP1,0.000000
CMR3,YAP1,0.000000
CMS1,RAP1,0.148834
COA4,STE12,-0.027762
COA6,CIN5,0.155155
COG2,STE12,-0.187632
